Date, Close/Last, Volume, Open, High, Low
06/26/2019, $256.54, 397187, $254.91, $259.6028, $254.62
06/25/2019, $254.6, 457201, $259.76, $260, $252.67
06/24/2019, $261.93, 303645, $264.18, $264.68, $261.15
06/21/2019, $262.43, 602958, $264.7, $266.83, $261.96
06/20/2019, $265.24, 488970, $265.06, $270.05, $263.5
06/19/2019, $259.96, 740146, $266.2, $267.42, $258.135
06/18/2019, $266.13, 424136, $266.2, $270.53, $265.21
06/17/2019, $263.75, 517402, $270, $270, $262.03
06/14/2019, $265.94, 967038, $265.18, $267.3927, $264.245
06/13/2019, $267.38, 548313, $268, $269.84, $266.5565
06/12/2019, $267.53, 690119, $266.86, $268.62, $265.53
06/11/2019, $269.8, 751520, $267.82, $270.38, $264.995
06/10/2019, $262.84, 674293, $260.65, $264.29, $257.49
06/07/2019, $258.26, 573029, $253.84, $260.44, $253.175
06/06/2019, $252.45, 518231, $246.27, $253.74, $244.22
06/05/2019, $245.57, 676516, $253.42, $254.44, $243.2
06/04/2019, $250.91, 698961, $247.9, $251.23, $243.56
06/03/2019, $244.66, 840023, $249.58, $250.92, $242.83
05/31/2019, $248.61, 698963, $246.5, $253.65, $246
05/30/2019, $249.25, 673710, $247.96, $252.65, $246.7671
05/29/2019, $248.44, 752072, $248.25, $251.92, $246.16
05/28/2019, $250.83, 2369472, $256.35, $258.68, $250.64
05/24/2019, $255.98, 885575, $260.83, $262, $254.33
05/23/2019, $260.17, 798847, $256.46, $260.86, $253.01
05/22/2019, $260.78, 848244, $261.98, $262.65, $256.265
05/21/2019, $262.62, 748847, $260.44, $264.19, $258.3885
05/20/2019, $257.62, 965941, $262, $262, $254.2043
05/17/2019, $266.53, 1032834, $274.27, $274.5, $264.125
05/16/2019, $279.11, 1567378, $275, $282, $272.71
05/15/2019, $262.04, 726929, $261.49, $266.9319, $259.02
05/14/2019, $262.37, 928698, $258.55, $264.045, $255.36
05/13/2019, $254.57, 1116795, $253.89, $257.03, $252.33
05/10/2019, $264.47, 991135, $262.1, $265.605, $258.22
05/09/2019, $261.67, 820639, $257.97, $262.7, $254.35
05/08/2019, $264.41, 1036165, $264.16, $265.52, $250.2
05/07/2019, $264.17, 1710562, $277.87, $278.67, $260.48
05/06/2019, $281.42, 823935, $272.12, $282.27, $271.3
05/03/2019, $285.44, 787644, $280, $289.685, $278.9
05/02/2019, $280.4, 797032, $281.83, $289.19, $278.38
05/01/2019, $285.37, 502864, $286.38, $288.5, $284.17
04/30/2019, $284.53, 600427, $283.65, $287.32, $281.4
04/29/2019, $283.65, 360481, $281.79, $284.92, $281.09
04/26/2019, $280.73, 643064, $277.05, $282.95, $275.21
04/25/2019, $277.97, 691563, $273.8, $278.94, $271.46
04/24/2019, $274.18, 446913, $271.64, $274.47, $267.39
04/23/2019, $274.14, 646745, $268, $274.55, $267.81
04/22/2019, $268.04, 315250, $262.9, $268.81, $262.0116
04/18/2019, $266.01, 488389, $268.46, $269, $263.37
04/17/2019, $268.28, 465861, $267.48, $271.2, $266.43
04/16/2019, $265.74, 465617, $272.4, $272.87, $264.9
04/15/2019, $270.54, 382954, $273.63, $274.4, $267.61
04/12/2019, $274.45, 469583, $275.44, $278.1, $273.14
04/11/2019, $273.61, 330760, $273.54, $273.87, $271.01
04/10/2019, $272.97, 844516, $276.22, $276.59, $269.04
04/09/2019, $276.72, 666916, $277.94, $280.84, $274.75
04/08/2019, $278.73, 1007940, $278, $278.97, $271
04/05/2019, $279.68, 1145664, $271.65, $282.74, $270.0717
04/04/2019, $269.76, 770919, $267, $270.93, $266.56
04/03/2019, $267.57, 1070881, $259.01, $270.15, $258.64
04/02/2019, $258.29, 700858, $254.59, $259.13, $252.74
04/01/2019, $256.01, 1029927, $244.88, $257.3, $243.8
03/29/2019, $241.45, 674711, $239.34, $241.73, $237.66
03/28/2019, $236.27, 323351, $235.38, $236.675, $232.3633
03/27/2019, $235.24, 527653, $236.17, $238.35, $234.775
03/26/2019, $235.39, 464469, $234.36, $239.17, $234.25
03/25/2019, $233.74, 668074, $231.51, $234.9, $228.89
03/22/2019, $232.35, 492980, $238.21, $239.32, $231.86
03/21/2019, $240.02, 707789, $236.55, $241.59, $235.94
03/20/2019, $237, 664540, $240.68, $242.99, $235.9252
03/19/2019, $244.29, 501200, $245, $245.97, $241.11
03/18/2019, $243.48, 459718, $244.77, $245.95, $239.5
03/15/2019, $242.35, 779422, $240.5, $244.08, $240.5
03/14/2019, $238.57, 450616, $237.4, $239.52, $233.76
03/13/2019, $240.86, 768128, $232.06, $243.09, $230.0931
03/12/2019, $232.73, 512228, $233.55, $234.99, $229.95
03/11/2019, $232.95, 628106, $229.26, $235.585, $228.92
03/08/2019, $226.57, 628039, $220.61, $230.99, $219
03/07/2019, $224.44, 773032, $227.24, $229.28, $223.68
03/06/2019, $231.79, 676300, $229.21, $234.17, $227.42
03/05/2019, $228.97, 950773, $218.3, $230.58, $218.3
03/04/2019, $218.96, 879974, $219, $219.085, $213.278
03/01/2019, $217.38, 1284125, $225, $225.668, $212.34
02/28/2019, $223.22, 758319, $225.03, $225.91, $221
02/27/2019, $225.62, 522055, $224.63, $226.76, $223.25
02/26/2019, $224.83, 678261, $221.42, $226.38, $220.245
02/25/2019, $224.19, 1419773, $227.23, $229.58, $220.7
02/22/2019, $222.65, 1270191, $221, $224.98, $220.47
02/21/2019, $218.91, 2677772, $229.3, $230, $216.31
02/20/2019, $232.6, 1107101, $231.87, $237.595, $229.505
02/19/2019, $229.64, 1308490, $235, $238.7, $229.21
02/15/2019, $227.62, 1105227, $241.75, $241.75, $226.02
02/14/2019, $241.14, 322725, $239.59, $241.6, $237.26
02/13/2019, $240.53, 736481, $245.42, $247.95, $238.5
02/12/2019, $244.4, 469544, $241.79, $245.67, $240.58
02/11/2019, $240.15, 447245, $242.34, $245.52, $240.05
02/08/2019, $239.88, 353625, $237, $240.995, $235.32
02/07/2019, $237.71, 710827, $242, $242.52, $235.355
02/06/2019, $243.14, 596764, $253.56, $253.83, $242.9722
02/05/2019, $256.75, 306785, $251.86, $257, $251.86
02/04/2019, $251.63, 313572, $249.79, $254.835, $249.79
02/01/2019, $249.79, 627285, $249.31, $256, $247.71
01/31/2019, $251.93, 929351, $244, $252.46, $244
01/30/2019, $243.05, 681531, $241.73, $244.045, $237.22
01/29/2019, $238.1, 431798, $238.73, $240.76, $235.005
01/28/2019, $241.27, 548939, $240.83, $244.13, $236.42
01/25/2019, $242.59, 983074, $245.95, $246.1499, $241.28
01/24/2019, $240.38, 959131, $247.38, $249.6, $237.79
01/23/2019, $246.3, 462103, $247.05, $249.5, $243.52
01/22/2019, $245.09, 617457, $249.1, $249.68, $242.47
01/18/2019, $252.68, 783828, $254.95, $258.6656, $251.14
01/17/2019, $252.18, 537163, $252.38, $254.99, $249.14
01/16/2019, $254.22, 894112, $248, $255.1095, $248
01/15/2019, $247.02, 672353, $243.31, $247.582, $241.87
01/14/2019, $240.08, 719123, $242.17, $246.385, $239.22
01/11/2019, $243.42, 830536, $253.43, $254.42, $241.5
01/10/2019, $255.15, 828038, $253.8, $255.93, $248.97
01/09/2019, $258.44, 1231510, $244, $258.72, $243.0628
01/08/2019, $242.41, 610342, $240.76, $243.54, $237.67
01/07/2019, $239.49, 666253, $235, $241, $230.63
01/04/2019, $229.75, 1151875, $226.21, $238.8, $225.25
01/03/2019, $220.9, 632907, $226.53, $228.56, $218.84
01/02/2019, $229.74, 763435, $230.81, $232.9, $226.1
12/31/2018, $235.37, 432348, $239.11, $243.89, $233.89
12/28/2018, $236.91, 754881, $242.26, $243.94, $232.51
12/27/2018, $246.39, 1036803, $239.21, $246.74, $237.34
12/26/2018, $243.52, 614510, $246.57, $247, $236.29
12/24/2018, $245.03, 506626, $241.89, $249.84, $241.77
12/21/2018, $244.43, 2386306, $249.9, $253, $241.29
12/20/2018, $235.82, 785693, $234.99, $237.93, $229.18
12/19/2018, $233.37, 845815, $237.83, $241.48, $230.68
12/18/2018, $232.52, 646274, $240.21, $240.84, $231.86
12/17/2018, $238.59, 603091, $246.01, $246.28, $236.67
12/14/2018, $248, 916956, $247.65, $251.95, $246.12
12/13/2018, $253.33, 1193894, $250.75, $257.15, $248.2
12/12/2018, $247.09, 894660, $244.15, $250.93, $240.83
12/11/2018, $237.91, 637943, $240.54, $244.88, $235.83
12/10/2018, $236.82, 739062, $234.19, $240.6212, $232.49
12/07/2018, $236.61, 993114, $237.86, $243.87, $234.64
12/06/2018, $238.47, 1132697, $223.05, $240.4498, $220.01
12/04/2018, $229.43, 846033, $234.94, $237.5, $228.895
12/03/2018, $235.36, 1014207, $234.14, $238.47, $231.7
11/30/2018, $227.07, 1065226, $223.26, $229.61, $223.26
11/29/2018, $223.23, 876920, $228.1, $230.47, $220.875
